locationId;Estacion_de_Medicion;Material_Particular;Valor;dateUtc;dateLocal;Unidad_Medida;latitude;longitude;Pais;city;isMobile;Entidad;sensorType
1;JCPACHON;pm1;10.1;2023-03-13T00:02:20+00:00;2023-03-12T19:02:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
2;JCPACHON;pm1;10.4;2023-03-12T15:58:15+00:00;2023-03-12T10:58:15-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
3;JCPACHON;pm1;10.8;2023-03-12T14:04:13+00:00;2023-03-12T09:04:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
4;JCPACHON;pm1;10.8;2023-03-12T23:48:20+00:00;2023-03-12T18:48:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
5;JCPACHON;pm1;11.2;2023-03-12T16:02:15+00:00;2023-03-12T11:02:15-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
6;JCPACHON;pm1;11.5;2023-03-12T16:08:15+00:00;2023-03-12T11:08:15-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
7;JCPACHON;pm1;11.6;2023-03-12T15:34:14+00:00;2023-03-12T10:34:14-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
8;JCPACHON;pm1;11.9;2023-03-12T14:40:13+00:00;2023-03-12T09:40:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
9;JCPACHON;pm1;12;2023-03-12T16:04:15+00:00;2023-03-12T11:04:15-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
10;JCPACHON;pm1;12.1;2023-03-12T14:22:13+00:00;2023-03-12T09:22:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
11;JCPACHON;pm1;12.1;2023-03-13T00:04:20+00:00;2023-03-12T19:04:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
12;JCPACHON;pm1;12.3;2023-03-12T14:28:13+00:00;2023-03-12T09:28:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
13;JCPACHON;pm1;12.4;2023-03-12T14:30:13+00:00;2023-03-12T09:30:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
14;JCPACHON;pm1;12.5;2023-03-12T23:46:19+00:00;2023-03-12T18:46:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
15;JCPACHON;pm1;12.7;2023-03-12T14:32:13+00:00;2023-03-12T09:32:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
16;JCPACHON;pm1;12.7;2023-03-12T14:46:13+00:00;2023-03-12T09:46:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
17;JCPACHON;pm1;12.8;2023-03-12T14:44:13+00:00;2023-03-12T09:44:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
18;JCPACHON;pm1;12.8;2023-03-12T23:38:19+00:00;2023-03-12T18:38:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
19;JCPACHON;pm1;13.2;2023-03-12T23:36:19+00:00;2023-03-12T18:36:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
20;JCPACHON;pm1;13.2;2023-03-12T23:40:19+00:00;2023-03-12T18:40:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
21;JCPACHON;pm1;13.2;2023-03-13T00:06:20+00:00;2023-03-12T19:06:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
22;JCPACHON;pm1;13.3;2023-03-12T23:28:19+00:00;2023-03-12T18:28:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
23;JCPACHON;pm1;13.3;2023-03-12T23:32:19+00:00;2023-03-12T18:32:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
24;JCPACHON;pm1;13.3;2023-03-12T23:34:19+00:00;2023-03-12T18:34:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
25;JCPACHON;pm1;13.5;2023-03-12T13:38:13+00:00;2023-03-12T08:38:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
26;JCPACHON;pm1;13.7;2023-03-12T23:30:19+00:00;2023-03-12T18:30:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
27;JCPACHON;pm1;13.8;2023-03-12T13:34:13+00:00;2023-03-12T08:34:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
28;JCPACHON;pm1;13.8;2023-03-12T13:40:13+00:00;2023-03-12T08:40:13-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
29;JCPACHON;pm1;13.9;2023-03-12T23:44:20+00:00;2023-03-12T18:44:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
30;JCPACHON;pm1;14;2023-03-13T00:08:20+00:00;2023-03-12T19:08:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
31;JCPACHON;pm1;14.1;2023-03-12T23:42:19+00:00;2023-03-12T18:42:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
32;JCPACHON;pm1;14.2;2023-03-12T15:04:14+00:00;2023-03-12T10:04:14-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
33;JCPACHON;pm1;14.2;2023-03-12T23:24:19+00:00;2023-03-12T18:24:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
34;JCPACHON;pm1;14.5;2023-03-13T00:20:20+00:00;2023-03-12T19:20:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
35;JCPACHON;pm1;14.6;2023-03-13T00:18:20+00:00;2023-03-12T19:18:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
36;JCPACHON;pm1;14.8;2023-03-13T00:10:20+00:00;2023-03-12T19:10:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
37;JCPACHON;pm1;14.8;2023-03-13T00:12:20+00:00;2023-03-12T19:12:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
38;JCPACHON;pm1;14.9;2023-03-12T12:10:12+00:00;2023-03-12T07:10:12-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
39;JCPACHON;pm1;14.9;2023-03-12T12:34:12+00:00;2023-03-12T07:34:12-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
40;JCPACHON;pm1;14.9;2023-03-13T00:14:20+00:00;2023-03-12T19:14:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
41;JCPACHON;pm1;15;2023-03-12T12:24:12+00:00;2023-03-12T07:24:12-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
42;JCPACHON;pm1;15;2023-03-12T23:22:19+00:00;2023-03-12T18:22:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
43;JCPACHON;pm1;15.1;2023-03-12T15:32:14+00:00;2023-03-12T10:32:14-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
44;JCPACHON;pm1;15.3;2023-03-12T12:32:12+00:00;2023-03-12T07:32:12-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
45;JCPACHON;pm1;15.3;2023-03-12T18:46:16+00:00;2023-03-12T13:46:16-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
46;JCPACHON;pm1;15.4;2023-03-13T00:16:20+00:00;2023-03-12T19:16:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
47;JCPACHON;pm1;15.5;2023-03-12T15:16:14+00:00;2023-03-12T10:16:14-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
48;JCPACHON;pm1;15.5;2023-03-12T23:02:19+00:00;2023-03-12T18:02:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
49;JCPACHON;pm1;15.6;2023-03-13T00:22:20+00:00;2023-03-12T19:22:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
50;JCPACHON;pm1;15.7;2023-03-12T23:00:19+00:00;2023-03-12T18:00:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
51;JCPACHON;pm1;15.7;2023-03-13T00:40:20+00:00;2023-03-12T19:40:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
52;JCPACHON;pm1;15.8;2023-03-12T23:18:19+00:00;2023-03-12T18:18:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
53;JCPACHON;pm1;15.9;2023-03-12T18:48:16+00:00;2023-03-12T13:48:16-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
54;JCPACHON;pm1;15.9;2023-03-12T23:06:20+00:00;2023-03-12T18:06:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
55;JCPACHON;pm1;15.9;2023-03-12T23:16:19+00:00;2023-03-12T18:16:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
56;JCPACHON;pm1;16;2023-03-12T23:04:19+00:00;2023-03-12T18:04:19-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
57;JCPACHON;pm1;16;2023-03-13T00:38:20+00:00;2023-03-12T19:38:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
58;JCPACHON;pm1;16.1;2023-03-12T18:50:16+00:00;2023-03-12T13:50:16-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
59;JCPACHON;pm1;16.1;2023-03-13T00:24:20+00:00;2023-03-12T19:24:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
60;JCPACHON;pm1;16.2;2023-03-12T12:16:12+00:00;2023-03-12T07:16:12-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
61;JCPACHON;pm1;16.2;2023-03-13T00:28:20+00:00;2023-03-12T19:28:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
62;JCPACHON;pm1;16.3;2023-03-13T00:26:20+00:00;2023-03-12T19:26:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
63;JCPACHON;pm1;16.3;2023-03-13T00:32:20+00:00;2023-03-12T19:32:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
64;JCPACHON;pm1;16.3;2023-03-13T00:42:20+00:00;2023-03-12T19:42:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
65;JCPACHON;pm1;16.4;2023-03-12T18:52:17+00:00;2023-03-12T13:52:17-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
66;JCPACHON;pm1;16.4;2023-03-13T00:30:20+00:00;2023-03-12T19:30:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
67;JCPACHON;pm1;16.4;2023-03-13T00:36:20+00:00;2023-03-12T19:36:20-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
68;JCPACHON;pm1;16.5;2023-03-12T16:22:21+00:00;2023-03-12T11:22:21-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
69;JCPACHON;pm1;16.6;2023-03-12T18:42:16+00:00;2023-03-12T13:42:16-05:00;Microgramo/m³;4.624007;-74.123314;Colombia;Bogota;false;community;low-cost sensor
